app_id,name,category,homepage,upstream_repo,latest_version_upstream,latest_version_flathub,latest_version_arch,latest_version_debian,wayland_score,xlibre_score,confidence,evidence_wayland,evidence_xlibre,toolkit_guess,run_mode_guess,sources_used,notes
angrydd,angrydd,games,,,,,,1.0.1-14,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
animals,animals,games,,,,,,201207131226-2.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
anjuta,anjuta,gnome,,,,,,2:3.34.0-8,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
anomaly,anomaly,utils,,,,,,1.1.0-3+b1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
anthy,anthy,utils,,,,,,1:0.4-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
anthy-common,anthy-common,utils,,,,,,1:0.4-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
antigravitaattori,antigravitaattori,games,,,,,,0.0.3-10,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
antimicro,antimicro,utils,,,,,,3.1.4-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
antimicrox,antimicrox,Graphical,https://github.com/AntiMicroX/antimicrox,,,,3.5.1,,3,4,0.35,,,unknown,x11,arch,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
anymeal,anymeal,utils,,,,,,1.18-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
anypaper,anypaper,utils,,,,,,2.4-2.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
anyremote,anyremote,utils,,,,,,6.7.3-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
anyremote-data,anyremote-data,utils,,,,,,6.7.3-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aodh-api,aodh-api,web,,,,,,15.0.0-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aodh-common,aodh-common,web,,,,,,15.0.0-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aodh-evaluator,aodh-evaluator,web,,,,,,15.0.0-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aodh-expirer,aodh-expirer,web,,,,,,15.0.0-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aodh-listener,aodh-listener,web,,,,,,15.0.0-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aodh-notifier,aodh-notifier,web,,,,,,15.0.0-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aoeui,aoeui,editors,,,,,,1.7+20160302.git4e5dee9-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aom,aom,Alliance,https://aomedia.org/,,,,3.13.1,,3,4,0.35,,,unknown,x11,arch,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aom-tools,aom-tools,video,,,,,,3.6.0-1+deb12u2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apcupsd-cgi,apcupsd-cgi,web,,,,,,3.14.14-3.1+b1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apel,apel,editors,,,,,,10.8+0.20220720-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apparix,apparix,utils,,,,,,11-062-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
appc-spec,appc-spec,utils,,,,,,0.8.11+dfsg-2.1+b11,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apper,apper,kde,,,,,,1.0.0-4,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apper-data,apper-data,kde,,,,,,1.0.0-4,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apt-config-auto-update,apt-config-auto-update,utils,,,,,,2.2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apt-listchanges,apt-listchanges,utils,,,,,,3.24,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apt-listdifferences,apt-listdifferences,utils,,,,,,1.20230122,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apt-rdepends,apt-rdepends,utils,,,,,,1.3.0-10,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apt-transport-in-toto,apt-transport-in-toto,utils,,,,,,0.1.1-3,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aptfs,aptfs,utils,,,,,,2:1.0.1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aptly,aptly,utils,,,,,,1.5.0+ds1-1+b4,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aptly-api,aptly-api,utils,,,,,,1.5.0+ds1-1+b4,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aptly-publisher,aptly-publisher,utils,,,,,,0.12.12-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apulse,apulse,sound,,,,,,0.1.13-2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
apwal,apwal,gnome,,,,,,0.4.5-1.2,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aqbanking-tools,aqbanking-tools,utils,,,,,,6.5.3-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
aravis-tools,aravis-tools,video,,,,,,0.8.26-1,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
arc,arc,utils,,,,,,5.21q-12,3,4,0.35,,,unknown,x11,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
